.metric,.estimator,mean,n,std_err,.config
accuracy,binary,0.7213276145983061,10,9.446316068248411e-4,Preprocessor1_Model1
roc_auc,binary,0.8145336232461801,10,0.0016468448155779714,Preprocessor1_Model1
